Date,stock_price
4/25/2022,42.157501
4/22/2022,42.400002
4/21/2022,42.122501
4/20/2022,43.680000
4/19/2022,44.172501
4/18/2022,46.205002
4/14/2022,44.645000
4/13/2022,44.887501
4/12/2022,45.235001
4/11/2022,43.560001
4/8/2022,43.654999
4/7/2022,43.072498
4/6/2022,44.195000
4/5/2022,44.244999
4/4/2022,46.465000
4/1/2022,48.382500
3/31/2022,47.852501
3/30/2022,46.700001
3/29/2022,48.057499
3/28/2022,48.542500
3/25/2022,51.117500
3/24/2022,52.122501
3/23/2022,52.487499
3/22/2022,50.942501
3/21/2022,50.397499
3/18/2022,51.869999
3/17/2022,55.555000
3/16/2022,54.715000
3/15/2022,53.325001
3/14/2022,53.060001
3/11/2022,54.075001
3/10/2022,54.950001
3/9/2022,53.772499
3/8/2022,55.682499
3/7/2022,55.162498
3/4/2022,54.827499
3/3/2022,54.005001
3/2/2022,55.297501
3/1/2022,55.537498
2/28/2022,54.340000
2/25/2022,55.527500
2/24/2022,53.612499
2/23/2022,54.090000
2/22/2022,56.717499
2/18/2022,55.942501
2/17/2022,56.072498
2/16/2022,56.997501
2/15/2022,58.017502
2/14/2022,57.320000
2/11/2022,56.814999
2/10/2022,56.435001
2/9/2022,56.237499
2/8/2022,55.105000
2/7/2022,55.547501
2/4/2022,55.197498
2/3/2022,54.415001
2/2/2022,55.007500
2/1/2022,54.592499
1/31/2022,54.560001
1/28/2022,54.470001
1/27/2022,55.959999
1/26/2022,56.602501
1/25/2022,55.267502
1/24/2022,55.962502
1/21/2022,54.582500
1/20/2022,55.325001
1/19/2022,55.775002
1/18/2022,56.717499
1/14/2022,57.090000
1/13/2022,56.907501
1/12/2022,56.257500
1/11/2022,55.744999
1/10/2022,54.924999
1/7/2022,54.485001
1/6/2022,54.040001
1/5/2022,53.872501
1/4/2022,53.762501
1/3/2022,53.759998
12/30/2021,53.865002
12/29/2021,54.395000
12/28/2021,53.330002
12/27/2021,52.560001
12/23/2021,52.437500
12/22/2021,52.217499
12/21/2021,51.882500
12/20/2021,52.220001
12/17/2021,51.812500
12/16/2021,51.777500
12/15/2021,52.267502
12/14/2021,51.997501
12/13/2021,51.847500
12/10/2021,50.375000
12/9/2021,47.572498
12/8/2021,47.477501
12/7/2021,47.744999
12/6/2021,48.552502
12/3/2021,48.705002
12/2/2021,48.250000
12/1/2021,47.902500
11/30/2021,47.860001
11/29/2021,47.970001
11/26/2021,47.599998
11/24/2021,47.862499
11/23/2021,47.727501
11/22/2021,47.832500
11/19/2021,47.757500
11/18/2021,46.970001
11/17/2021,47.587502
11/16/2021,47.645000
11/15/2021,46.992500
11/12/2021,46.349998
11/10/2021,45.980000
11/9/2021,46.794998
11/8/2021,46.277500
11/5/2021,46.375000
11/4/2021,46.040001
11/3/2021,46.107498
11/2/2021,45.542500
11/1/2021,46.230000
10/29/2021,46.365002
10/28/2021,46.625000
10/27/2021,46.422501
10/26/2021,47.185001
10/25/2021,47.209999
10/22/2021,47.700001
10/21/2021,47.674999
10/20/2021,48.070000
10/19/2021,47.807499
10/18/2021,47.924999
10/15/2021,48.365002
10/14/2021,48.494999
10/13/2021,48.327499
10/12/2021,47.957500
10/8/2021,47.560001
10/7/2021,46.717499
10/6/2021,46.875000
10/5/2021,46.974998
10/4/2021,47.145000
10/1/2021,47.037498
9/30/2021,47.090000
9/29/2021,46.790001
9/28/2021,46.907501
9/27/2021,46.577499
9/24/2021,46.747501
9/23/2021,47.044998
9/22/2021,46.610001
9/21/2021,47.037498
9/20/2021,47.147499
9/17/2021,47.509998
9/16/2021,46.840000
9/15/2021,46.512501
9/14/2021,46.290001
9/13/2021,45.957500
9/10/2021,44.222500
9/9/2021,44.142502
9/8/2021,42.275002
9/7/2021,41.314999
9/3/2021,40.580002
9/2/2021,41.055000
9/1/2021,40.912498
8/31/2021,40.735001
8/30/2021,41.310001
8/27/2021,41.430000
8/26/2021,43.200001
8/25/2021,44.459999
8/24/2021,44.560001
8/23/2021,43.955002
8/20/2021,43.682499
8/19/2021,43.535000
8/18/2021,43.110001
8/17/2021,43.312500
8/16/2021,42.512501
8/13/2021,42.095001
8/12/2021,43.200001
8/11/2021,42.902500
8/10/2021,42.097500
8/9/2021,41.669998
8/6/2021,41.945000
8/5/2021,41.619999
8/4/2021,42.084999
8/3/2021,43.192501
8/2/2021,41.235001
7/30/2021,42.212502
7/29/2021,42.817501
7/28/2021,43.810001
7/27/2021,43.825001
7/26/2021,44.505001
7/23/2021,44.662498
7/22/2021,44.610001
7/21/2021,44.992500
7/20/2021,45.430000
7/19/2021,44.994999
7/16/2021,44.235001
7/15/2021,43.757500
7/14/2021,44.167500
7/13/2021,44.205002
7/12/2021,44.052502
7/9/2021,43.750000
7/8/2021,44.529999
7/7/2021,44.597500
7/6/2021,44.742500
7/2/2021,43.875000
7/1/2021,43.125000
6/30/2021,42.767502
6/29/2021,42.962502
6/28/2021,43.107498
6/25/2021,43.247501
6/24/2021,41.842499
6/23/2021,41.084999
6/22/2021,40.677502
6/21/2021,39.102501
6/17/2021,38.787498
6/16/2021,39.884998
6/15/2021,40.757500
6/14/2021,39.122501
6/11/2021,40.125000
6/10/2021,41.945000
6/9/2021,41.857498
6/8/2021,41.742500
6/7/2021,41.990002
6/4/2021,42.877499
6/3/2021,42.777500
6/2/2021,43.555000
6/1/2021,44.259998
5/28/2021,44.250000
5/27/2021,44.615002
5/26/2021,44.814999
5/25/2021,44.775002
5/24/2021,44.047501
5/21/2021,44.272499
5/20/2021,43.820000
5/19/2021,43.572498
5/18/2021,43.582500
5/17/2021,43.587502
5/14/2021,43.750000
5/13/2021,43.257500
5/12/2021,43.057499
5/11/2021,43.064999
5/10/2021,42.307499
5/7/2021,42.770000
5/6/2021,42.650002
5/5/2021,42.642502
5/4/2021,43.752499
5/3/2021,43.752499
4/30/2021,43.587502
4/29/2021,43.634998
4/28/2021,44.105000
4/27/2021,43.492500
4/26/2021,43.055000
4/23/2021,43.067501
4/22/2021,42.924999
4/21/2021,43.167500
4/20/2021,42.342499
4/19/2021,42.330002
4/16/2021,42.252499
4/15/2021,42.410000
4/14/2021,42.450001
4/13/2021,42.762501
4/12/2021,42.962502
4/9/2021,42.369999
4/8/2021,43.267502
4/7/2021,43.522499
4/6/2021,43.742500
4/5/2021,43.740002
4/1/2021,43.285000
3/31/2021,42.494999
3/30/2021,42.537498
3/29/2021,42.775002
3/26/2021,42.270000
3/25/2021,42.834999
3/24/2021,43.492500
3/23/2021,43.667500
3/22/2021,43.970001
3/19/2021,44.060001
3/18/2021,43.702499
3/17/2021,43.562500
3/16/2021,43.125000
3/15/2021,42.027500
3/12/2021,41.722500
3/11/2021,42.259998
3/10/2021,41.680000
3/9/2021,40.762501
3/8/2021,39.352501
3/5/2021,39.102501
3/4/2021,39.275002
3/3/2021,39.042500
3/2/2021,39.062500
3/1/2021,38.994999
2/26/2021,39.939999
2/25/2021,40.117500
2/24/2021,39.970001
2/23/2021,39.247501
2/22/2021,39.000000
2/19/2021,39.137501
2/18/2021,38.974998
2/17/2021,38.959999
2/16/2021,38.825001
2/12/2021,38.847500
2/11/2021,38.369999
2/10/2021,38.619999
2/9/2021,38.452499
2/8/2021,38.529999
2/5/2021,38.320000
2/4/2021,38.557499
2/3/2021,38.285000
2/2/2021,37.637501
2/1/2021,37.972500
1/29/2021,38.347500
1/28/2021,39.017502
1/27/2021,39.682499
1/26/2021,39.667500
1/25/2021,39.970001
1/22/2021,39.570000
1/21/2021,39.912498
1/20/2021,40.215000
1/19/2021,40.375000
1/15/2021,39.657501
1/14/2021,40.314999
1/13/2021,40.477501
1/12/2021,40.520000
1/11/2021,41.012501
1/8/2021,41.000000
1/7/2021,40.837502
1/6/2021,40.727501
1/5/2021,40.367500
1/4/2021,39.965000
12/31/2020,39.817501
12/30/2020,39.994999
12/29/2020,39.945000
12/28/2020,39.302502
12/24/2020,39.375000
12/23/2020,39.465000
12/22/2020,40.237499
12/21/2020,40.400002
12/18/2020,39.962502
12/17/2020,39.369999
12/16/2020,38.830002
12/15/2020,40.264999
12/14/2020,40.020000
12/11/2020,39.702499
12/10/2020,39.097500
12/9/2020,38.892502
12/8/2020,39.285000
12/7/2020,37.512501
12/4/2020,37.182499
12/3/2020,37.375000
12/2/2020,37.639999
12/1/2020,38.365002
11/30/2020,38.185001
11/27/2020,38.022499
11/25/2020,37.567501
11/24/2020,37.584999
11/23/2020,37.755001
11/20/2020,37.520000
11/19/2020,37.389999
11/18/2020,37.259998
11/17/2020,36.942501
11/16/2020,36.435001
11/13/2020,36.382500
11/12/2020,36.264999
11/10/2020,36.044998
11/9/2020,35.682499
11/6/2020,36.022499
11/5/2020,35.875000
11/4/2020,36.005001
11/3/2020,35.919998
11/2/2020,36.457500
10/30/2020,35.932499
10/29/2020,36.455002
10/28/2020,36.570000
10/27/2020,36.407501
10/26/2020,36.467499
10/23/2020,36.252499
10/22/2020,36.584999
10/21/2020,35.567501
10/20/2020,36.072498
10/19/2020,36.290001
10/16/2020,36.647499
10/15/2020,36.355000
10/14/2020,37.244999
10/13/2020,38.747501
10/9/2020,38.842499
10/8/2020,38.612499
10/7/2020,38.482498
10/6/2020,38.862499
10/5/2020,38.294998
10/2/2020,38.189999
10/1/2020,38.417500
9/30/2020,38.402500
9/29/2020,38.467499
9/28/2020,38.334999
9/25/2020,38.450001
9/24/2020,38.497501
9/23/2020,38.264999
9/22/2020,38.134998
9/21/2020,37.562500
9/18/2020,38.867500
9/17/2020,38.924999
9/16/2020,39.025002
9/15/2020,38.487499
9/14/2020,38.314999
9/11/2020,38.497501
9/10/2020,38.252499
9/9/2020,37.240002
9/8/2020,36.632500
9/4/2020,36.764999
9/3/2020,36.877499
9/2/2020,36.645000
9/1/2020,35.912498
8/31/2020,35.947498
8/28/2020,35.919998
8/27/2020,36.132500
